frame,fps_frame,n_dets,n_fused,n_tracks,n_drawn,n_voronoi_points,n_hold_points,dup_pairs,id_switches_cum
0,0.289,22,21,21,7,7,0,0,0
1,1.064,22,21,21,11,11,0,0,0
2,1.097,22,20,20,11,11,0,0,0
3,1.101,22,20,20,11,11,0,0,0
4,1.062,22,21,21,11,11,0,0,0
5,1.095,22,20,20,11,11,0,0,0
6,1.124,22,21,21,11,11,0,0,0
7,1.042,22,21,21,11,11,0,0,0
8,1.084,22,22,22,11,11,0,0,0
9,1.038,22,22,22,11,11,0,0,0
10,1.074,22,22,22,11,11,0,0,0
11,1.045,22,22,22,11,11,0,0,0
12,1.062,22,22,22,11,11,0,0,0
13,1.027,22,22,22,11,11,0,0,0
14,1.027,22,22,22,11,11,0,0,0
15,1.062,22,21,21,11,11,0,0,0
16,1.04,22,21,21,11,11,0,0,0
17,1.08,22,21,21,11,11,0,0,0
18,1.053,22,21,21,11,11,0,0,0
19,1.065,22,22,22,11,11,0,0,0
20,1.044,22,21,21,11,11,0,0,0
21,0.991,24,22,22,11,11,0,0,0
22,1.032,24,21,21,11,11,0,0,0
23,1.054,22,21,21,11,11,0,0,0
24,1.042,22,21,21,11,11,0,0,0
25,1.059,22,21,21,11,11,0,0,0
26,1.033,22,21,21,11,11,0,0,0
27,1.066,22,20,20,11,11,0,0,0
28,1.018,22,20,20,11,11,0,0,0
29,1.043,22,21,21,11,11,0,0,0
30,1.036,22,21,21,11,11,0,0,0
31,1.023,22,21,21,11,11,0,0,0
32,0.994,22,21,21,11,11,0,0,0
33,1.06,22,21,21,11,11,0,0,0
34,1.049,22,21,21,11,11,0,0,0
35,1.067,22,21,21,11,11,0,0,0
36,1.072,22,21,21,11,11,0,0,0
37,1.051,22,21,21,11,11,0,0,0
38,1.04,22,22,22,11,11,0,0,0
39,1.034,22,22,22,11,11,0,0,0
40,1.057,22,22,22,11,11,0,0,0
41,1.095,22,22,22,11,11,0,0,0
42,1.005,22,21,21,11,11,0,0,0
43,1.084,22,21,21,11,11,0,0,0
44,1.066,22,21,21,11,11,0,0,0
45,1.061,22,21,21,11,11,0,0,0
46,1.068,23,22,22,11,11,0,0,0
47,1.057,23,22,22,11,11,0,0,0
48,1.059,22,21,21,11,11,0,0,0
49,1.057,22,20,20,11,11,0,0,0
50,1.049,23,23,23,11,11,0,0,0
51,1.084,23,22,22,11,11,0,0,0
52,1.072,23,23,23,11,11,0,0,0
53,1.074,23,23,23,11,11,0,0,0
54,1.064,22,21,21,11,11,0,0,0
55,1.089,23,21,21,11,11,0,0,0
56,1.108,22,21,21,10,11,1,0,0
57,1.077,23,23,23,10,11,1,0,0
58,1.094,23,23,23,10,11,1,0,0
59,1.105,22,22,22,10,11,1,0,0
60,1.022,23,22,22,10,11,1,0,0
61,1.082,23,23,23,10,11,1,0,0
62,1.08,23,22,22,10,11,1,0,0
63,1.071,23,23,23,10,11,1,0,0
64,1.11,23,23,23,10,11,1,0,0
65,1.021,23,23,23,10,11,1,0,0
66,1.082,23,23,23,10,11,1,0,0
67,1.084,23,23,23,10,11,1,0,0
68,1.112,23,23,23,10,11,1,0,0
69,1.076,23,23,23,10,11,1,0,0
70,1.095,23,22,22,10,11,1,0,0
71,1.084,23,22,22,10,11,1,0,0
72,1.032,23,21,21,10,11,1,0,0
73,1.098,23,22,22,10,11,1,0,0
74,1.115,23,20,20,10,11,1,0,0
75,1.128,23,21,21,10,11,1,0,0
76,1.041,23,22,22,10,11,1,0,0
77,1.129,23,22,22,10,11,1,0,0
78,1.101,23,22,22,10,11,1,0,0
79,1.048,23,23,23,10,11,1,0,0
80,1.076,23,22,22,10,11,1,0,0
81,1.029,23,22,22,10,11,1,0,0
82,1.023,23,23,23,10,11,1,0,0
83,1.039,23,23,23,10,11,1,0,0
84,1.059,23,23,23,10,11,1,0,0
85,1.055,23,23,23,10,11,1,0,0
86,1.057,23,23,23,10,11,1,0,0
87,1.05,23,22,22,10,11,1,0,0
88,1.074,23,23,23,10,11,1,0,0
89,1.107,23,23,23,10,11,1,0,0
90,1.079,23,22,22,10,11,1,0,0
91,1.098,23,22,22,10,11,1,0,0
92,1.05,23,21,21,10,11,1,0,0
93,0.996,23,22,22,10,11,1,0,0
94,1.018,23,22,22,10,11,1,0,0
95,1.033,23,21,21,10,11,1,0,0
96,1.02,23,21,21,10,11,1,0,0
97,1.069,23,21,21,10,11,1,0,0
98,1.038,23,21,21,10,11,1,0,0
99,1.1,23,20,20,10,11,1,0,0
100,1.094,23,20,20,10,11,1,0,0
101,1.099,23,21,21,10,11,1,0,0
102,1.055,23,20,20,10,11,1,0,0
103,1.018,24,21,21,10,11,1,0,0
104,1.057,24,22,22,10,11,1,0,0
105,1.016,23,22,22,10,11,1,0,0
