frame,cam,stable_id,ds_id,gid,has_emb,pos_x,pos_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2,conf,ball_x,ball_y,bcx,bcy,ccx,ccy,fsx,fsy,dt,pitch_delta,img_delta,pitch_speed
41,cam2,17,17,47,1,2850.568359375,1591.9163818359375,1026.429931640625,348.0353088378906,1043.5107421875,382.0483703613281,0.8754082322120667,581.3949584960938,1068.2069091796875,1034.9703369140625,382.0483703613281,1034.9703369140625,365.0418395996094,1034.9703369140625,376.9464111328125,1.0,279.93817489665736,6.972345622073089,6718.516197519777
172,cam2,26,80,55,1,2462.702880859375,1543.322509765625,984.4754028320312,350.6760559082031,1002.7289428710938,392.7430725097656,0.7831131815910339,1005.3064575195312,1882.4619140625,993.6021728515625,392.7430725097656,993.6021728515625,371.7095642089844,993.6021728515625,386.4330200195312,1.0,277.26979480014546,8.662144969718735,6654.4750752034915
170,cam2,25,80,54,1,2865.804443359375,1799.148193359375,988.8225708007812,351.3519287109375,1005.0205078125,380.8959045410156,0.8356180191040039,1755.1591796875,462.35198974609375,996.9215393066406,380.8959045410156,996.9215393066406,366.12391662597656,996.9215393066406,376.4643081665039,1.0,252.41304632383364,5.886335283388153,6057.913111772008
168,cam2,16,80,32,1,2161.2021484375,1310.0428466796875,992.544677734375,352.083251953125,1008.4523315429688,404.6128845214844,0.8179365992546082,1697.0321044921875,478.3980407714844,1000.4985046386719,404.6128845214844,1000.4985046386719,378.3480682373047,1000.4985046386719,396.73343963623046,1.0,243.53152703323673,9.713804408787421,5844.756648797682
206,cam2,28,19,57,1,1698.81298828125,1651.86376953125,822.3626708984375,370.4191589355469,844.0750732421875,419.1188659667969,0.8850278258323669,1158.1910400390625,1802.57568359375,833.2188720703125,419.1188659667969,833.2188720703125,394.7690124511719,833.2188720703125,411.81390991210935,1.0,228.80614398541962,10.163948320957708,5491.347455650071
156,cam2,4,16,23,1,2886.231201171875,1104.05126953125,1136.273681640625,335.812744140625,1154.360595703125,383.209716796875,0.8968967199325562,983.740478515625,1816.004150390625,1145.317138671875,383.209716796875,1145.317138671875,359.51123046875,1145.317138671875,376.1001708984375,1.0,221.05516171203138,6.237068409503591,5305.323881088753
78,cam2,19,18,49,1,1301.6351318359375,2218.78125,611.093505859375,381.1137390136719,637.6956176757812,428.3756408691406,0.8949235677719116,758.735107421875,1161.79443359375,624.3945617675781,428.3756408691406,624.3945617675781,404.74468994140625,624.3945617675781,421.28635559082034,1.0,209.72686638958393,8.340848855294816,5033.444793350015
82,cam2,20,48,50,1,2728.038818359375,1433.6236572265625,1043.033935546875,346.0709228515625,1062.3287353515625,385.8861999511719,0.8835636377334595,778.9901123046875,1167.826416015625,1052.6813354492188,385.8861999511719,1052.6813354492188,365.9785614013672,1052.6813354492188,379.91390838623045,1.0,206.69929531070403,5.766471925936955,4960.783087456897
12,cam2,15,32,31,1,1844.37744140625,1070.78662109375,994.9016723632812,358.6886291503906,1021.9328002929688,421.040771484375,0.8468688130378723,1608.2774658203125,2104.9638671875,1008.417236328125,421.040771484375,1008.417236328125,389.8647003173828,1008.417236328125,411.68795013427734,1.0,194.6283676395725,10.591318201494477,4671.08082334974
80,cam2,19,18,49,1,1185.84716796875,2047.8629150390625,606.1156616210938,381.17138671875,634.7555541992188,436.9841918945313,0.8570769429206848,765.929931640625,1160.82763671875,620.4356079101562,436.9841918945313,620.4356079101562,409.0777893066406,620.4356079101562,428.61227111816413,1.0,183.6098208297035,7.736038813662487,4406.635699912884
50,cam2,17,17,47,1,2755.42138671875,1517.3963623046875,1029.8294677734375,348.0392761230469,1046.9984130859375,384.7648315429688,0.871368408203125,,,1038.4139404296875,384.7648315429688,1038.4139404296875,366.4020538330078,1038.4139404296875,379.2559982299805,1.0,182.17371102688872,4.254731840463218,4372.16906464533
25,cam2,9,21,26,1,2397.9599609375,1568.0225830078125,969.8256225585938,348.785888671875,987.8187866210938,394.5236206054688,0.8494975566864014,542.6795043945312,1011.95654296875,978.8222045898438,394.5236206054688,978.8222045898438,371.6547546386719,978.8222045898438,387.66296081542976,1.0,171.05887263170484,5.275655083275319,4105.412943160916
85,cam2,21,48,33,1,2184.891357421875,1108.83837890625,1045.310302734375,344.9458923339844,1065.356689453125,405.7817077636719,0.8944629430770874,793.781982421875,1170.778076171875,1055.33349609375,405.7817077636719,1055.33349609375,375.3638000488281,1055.33349609375,396.6563354492188,1.0,169.18978002827646,6.254796976234562,4060.554720678635
14,cam2,15,32,31,1,2005.3275146484373,1187.1414794921875,994.2815551757812,359.5344543457031,1016.631591796875,412.1365051269531,0.1210403442382812,501.8727416992188,989.421630859375,1005.4565734863281,412.1365051269531,1005.4565734863281,385.8354797363281,1005.4565734863281,404.24619750976564,1.0,167.55060264758046,7.795259780699785,4021.2144635419313
124,cam2,7,19,24,1,1692.24267578125,1135.8770751953125,949.6289672851562,360.7148742675781,970.1765747070312,427.60345458984375,0.9055477976799012,,,959.9027709960938,427.60345458984375,959.9027709960938,394.15916442871094,959.9027709960938,417.5701675415039,1.0,167.50241831810305,8.407928072964136,4020.0580396344735
185,cam2,13,30,29,1,1794.4410400390625,1657.8427734375,844.0021362304688,360.3414916992188,860.9790649414062,415.0029296875,0.7968546748161316,1343.4375,1480.325439453125,852.4906005859375,415.0029296875,852.4906005859375,387.6722106933594,852.4906005859375,406.8037139892578,1.0,162.51454969270807,6.588464743588584,3900.349192624994
3,cam2,12,23,46,1,2320.2548828125,1379.333251953125,996.7422485351562,358.74755859375,1021.1392822265624,398.4075012207031,0.8673702478408813,455.5929870605469,959.4231567382812,1008.9407653808594,398.4075012207031,1008.9407653808594,378.57752990722656,1008.9407653808594,392.45850982666013,1.0,154.81071654160874,5.295695947363099,3715.45719699861
